date,max_temperature,avg_hourly_temperature,avg_temperature,min_temperature,max_humidex,min_windchill,max_relative_humidity,avg_hourly_relative_humidity,avg_relative_humidity,min_relative_humidity,max_dew_point,avg_hourly_dew_point,avg_dew_point,min_dew_point,max_wind_speed,avg_hourly_wind_speed,avg_wind_speed,min_wind_speed,max_wind_gust,wind_gust_dir_10s,max_pressure_sea,avg_hourly_pressure_sea,avg_pressure_sea,min_pressure_sea,max_pressure_station,avg_hourly_pressure_station,avg_pressure_station,min_pressure_station,max_visibility,avg_hourly_visibility,avg_visibility,min_visibility,max_health_index,avg_hourly_health_index,avg_health_index,min_health_index,heatdegdays,cooldegdays,growdegdays_5,growdegdays_7,growdegdays_10,precipitation,rain,snow,snow_on_ground,sunrise,sunset,daylight,sunrise_f,sunset_f,min_uv_forecast,max_uv_forecast,min_high_temperature_forecast,max_high_temperature_forecast,min_low_temperature_forecast,max_low_temperature_forecast,solar_radiation,max_cloud_cover_4,avg_hourly_cloud_cover_4,avg_cloud_cover_4,min_cloud_cover_4,max_cloud_cover_8,avg_hourly_cloud_cover_8,avg_cloud_cover_8,min_cloud_cover_8,max_cloud_cover_10,avg_hourly_cloud_cover_10,avg_cloud_cover_10,min_cloud_cover_10
2021-04-04,8.4,4.49,4.75,1.1,,,84,61.9,64.5,45,0.4,-2.4,-2.3,-5,27,15.5,16.5,6,42,32,,,,,,,,,,,,,2.7,2.5,2.5,2.2,13.2,0,0,0,0,0,,,,07:00:00,20:14:00,13.23,7,20.23,3,3,7,8,-4,-3,,,,,,,,,,,,,
2021-04-03,12.1,5.47,4.34,-3.4,,-3,92,55.6,59.5,27,-0.9,-4.1,-3.9,-6.8,21,8.42,10.5,0,37,18,,,,,,,,,,,,,3.6,3.1,3.2,2.8,13.7,0,0,0,0,0,,,,07:02:00,20:12:00,13.17,7.03,20.2,4,4,12,12,3,3,,,,,,,,,,,,,
2021-04-02,8.8,4.58,4.9,1,,,64,38,44.5,25,-1.9,-8.9,-7.2,-12.4,14,8.25,8,2,,,101.57,101.48,101.48,101.39,93.62,93.57,93.57,93.51,,,,,2.9,2.7,2.7,2.5,13.1,0,0,0,0,0,,,,07:04:00,20:10:00,13.1,7.07,20.17,3,3,8,8,-3,-2,,,,,,,,,,,,,
2021-04-01,18.9,7.73,8.94,-1,,-1,65,43.1,40,15,-0.9,-5.9,-5.4,-9.9,26,11.83,14,2,48,36,101.1,100.25,100.38,99.65,93.13,92.36,92.48,91.83,,,,,3.3,3,3,2.7,9.1,0,3.9,1.9,0,0,,,,07:07:00,20:08:00,13.02,7.12,20.13,4,4,16,16,-1,0,,,,,,,,,,,,,
2021-03-31,13.6,6.33,6.45,-0.7,,-3,63,42.8,43,23,-3.7,-6.2,-5.8,-7.8,18,9.29,10.5,3,34,27,102.05,101.7,101.6,101.15,93.93,93.65,93.56,93.18,,,,,3.3,2.8,2.9,2.5,11.6,0,1.4,0,0,0,,,,07:09:00,20:07:00,12.97,7.15,20.12,4,4,13,13,-1,-1,,,,,,,,,,,,,
2021-03-30,4.6,-2.81,-2.95,-10.5,,-15,64,46,46.5,29,-8,-13.3,-12.2,-16.5,22,9.79,11.5,1,41,30,102.26,102.12,102.11,101.95,94,93.89,93.88,93.77,,,,,3.4,2.8,2.9,2.4,20.9,0,0,0,0,0,,,,07:12:00,20:05:00,12.88,7.2,20.08,4,4,4,4,-2,-1,,,,,,,,,,,,,
2021-03-29,0.7,-6.81,-4.35,-9.4,,-20,87,57.9,62.5,38,-3.6,-14,-10.7,-17.8,43,30.88,26,9,65,32,102.26,101.41,101.06,99.86,93.96,93.25,92.96,91.96,,,,,2.4,2.1,2.1,1.9,22.4,0,0,0,0,0.2,,,,07:14:00,20:03:00,12.82,7.23,20.05,3,3,-4,-4,-11,-11,,,,,,,,,,,,,
2021-03-28,12.3,4.79,6.45,0.6,,,94,64.9,65,36,1.2,-1.9,-1,-3.3,31,13.12,18,5,61,32,100.27,99.66,99.66,99.05,92.35,91.79,91.8,91.25,,,,,2.6,2.3,2.4,2.1,11.6,0,1.4,0,0,0.2,,,,07:16:00,20:01:00,12.75,7.27,20.02,2,3,13,13,-7,-6,,,,,,,,,,,,,
2021-03-27,9,3.13,3,-3,,-5,95,70.4,73,51,1.5,-2.1,-2.3,-6.1,26,11.71,15,4,36,18,101.91,101.48,101.17,100.43,93.77,93.4,93.12,92.48,,,,,3.4,2.5,2.8,2.3,15,0,0,0,0,0.4,,,,07:19:00,19:59:00,12.67,7.32,19.98,3,5,11,11,3,3,,,,,,,,,,,,,
2021-03-26,4.3,-1.79,-0.89,-6.1,,-11,83,65.9,65,47,-5.2,-7.5,-7.5,-9.8,14,7.71,8.5,3,,,101.76,101.52,101.59,101.41,93.61,93.37,93.45,93.29,,,,,3.2,2.5,2.6,2.1,18.9,0,0,0,0,0,,,,07:21:00,19:58:00,12.62,7.35,19.97,3,3,3,5,-3,-3,,,,,,,,,,,,,
